Color Name, Hex Code,R,G,B,H,S,V,Name Code
tan brown,#ab7e4c,171,126,76,31.57894736842106,55.55555555555556,67.05882352941175,22040634015470
darkblue,#030764,3,7,100,237.5257731958763,97.0,39.21568627450981,139128287909
rosa,#fe86a4,254,134,164,345.0,47.24409448818898,99.6078431372549,605793
lipstick,#d5174e,213,23,78,342.6315789473684,89.2018779342723,83.52941176470588,422537995371
pale mauve,#fed0fc,254,208,252,302.60869565217394,18.11023622047244,99.6078431372549,564468170938053
claret,#680018,104,0,24,346.15384615384613,100.0,40.78431372549019,113297588
dandelion,#fedf08,254,223,8,52.4390243902439,96.8503937007874,99.6078431372549,4447578498542
orangered,#fe420f,254,66,15,12.803347280334728,94.09448818897636,99.6078431372549,17112700733604
poop green,#6f7c00,111,124,0,66.29032258064517,100.0,48.62745098039216,579976218350766
ruby,#ca0147,202,1,71,339.1044776119403,99.5049504950495,79.2156862745098,611417
dark,#1b2431,27,36,49,215.45454545454544,44.89795918367348,19.215686274509807,132683
greenish turquoise,#00fbb0,0,251,176,162.07171314741038,100.0,98.4313725490196,292755373543918843958109797
pastel red,#db5856,219,88,86,0.9022556390977412,60.73059360730593,85.88235294117646,564723956271268
piss yellow,#ddd618,221,214,24,57.86802030456853,89.14027149321268,86.66666666666667,18352634471002615
bright cyan,#41fdfe,65,253,254,180.3174603174603,74.40944881889764,99.6078431372549,2895263926707246
dark coral,#cf524e,207,82,78,1.8604651162790693,62.31884057971014,81.17647058823529,142468296722476
algae green,#21c36f,33,195,111,148.88888888888889,83.07692307692308,76.47058823529412,1555849696318638
darkish red,#a90308,169,3,8,358.1927710843373,98.22485207100593,66.27450980392156,4558963476482212
reddy brown,#6e1005,110,16,5,6.285714285714285,95.45454545454544,43.13725490196079,20446683521957614
blush pink,#fe828c,254,130,140,355.1612903225806,48.81889763779528,99.6078431372549,84305139738059
camouflage green,#4b6113,75,97,19,76.92307692307692,80.41237113402062,38.03921568627451,115015060161770164917422
lawn green,#4da409,77,164,9,93.6774193548387,94.51219512195122,64.31372549019608,424118297629870
putty,#beae8a,190,174,138,41.53846153846155,27.368421052631582,74.50980392156863,17486489
vibrant blue,#0339f8,3,57,248,226.77551020408163,98.79032258064515,97.25490196078432,802856843627016869
dark sand,#a88f59,168,143,89,41.01265822784811,47.023809523809526,65.88235294117646,4452134782404
purple/blue,#5d21d0,93,33,208,260.57142857142856,84.13461538461539,81.56862745098039,18773624373719717
saffron,#feb209,254,178,9,41.38775510204081,96.45669291338584,99.6078431372549,20441156078
twilight,#4e518b,78,81,139,237.04918032786887,43.88489208633092,54.50980392156863,712205704468
warm brown,#964e02,150,78,2,30.81081081081081,98.66666666666669,58.82352941176471,810973512941294
bluegrey,#85a3b2,133,163,178,200.0,25.28089887640449,69.80392156862744,82314512569
bubble gum pink,#ff69af,255,105,175,332.0,58.82352941176471,100.0,3138338113103501731275
duck egg blue,#c3fbf4,195,251,244,172.50000000000003,22.31075697211155,98.4313725490196,5372088648569270949
greenish cyan,#2afeb7,42,254,183,159.9056603773585,83.46456692913387,99.6078431372549,8724790023085483054
petrol,#005f6a,0,95,106,186.2264150943396,100.0,41.5686274509804,542788076
royal,#0c1793,12,23,147,235.11111111111111,91.83673469387756,57.647058823529406,19391532
butter,#ffff81,255,255,129,60.0,49.41176470588236,100.0,89804978
dusty orange,#f0833a,240,131,58,24.065934065934066,75.83333333333334,94.11764705882352,168450471149746405
off yellow,#f1f33f,241,243,63,60.66666666666666,74.07407407407408,95.2941176470588,534601866293751
pale olive green,#b1d27b,177,210,123,82.75862068965517,41.42857142857142,82.35294117647058,606093086078603600925870
orangish,#fc824a,252,130,74,18.87640449438202,70.63492063492063,98.82352941176472,534771902056
leaf,#71aa34,113,170,52,88.98305084745763,69.41176470588235,66.66666666666666,398374
light blue grey,#b7c9e2,183,201,226,214.88372093023256,19.026548672566367,88.62745098039215,14507523099007494899897
dried blood,#4b0101,75,1,1,0.0,98.66666666666669,29.411764705882355,5146991032417764
lightish purple,#a552e6,165,82,230,273.64864864864865,64.34782608695652,90.19607843137256,14507522378699963449733
rusty red,#af2f0d,175,47,13,12.592592592592595,92.57142857142856,68.62745098039215,20533863205028
lavender blue,#8b88f8,139,136,248,241.6071428571429,45.16129032258064,97.25490196078432,13896048108718076581
light grass green,#9af764,154,247,100,97.9591836734694,59.51417004048582,96.8627450980392,14855703659202760297485486
light mint green,#a6fbb2,166,251,178,128.47058823529412,33.86454183266932,98.4313725490196,464240739551744982848686
sunflower,#ffc512,255,197,18,45.31645569620253,92.94117647058825,100.0,21627522243762
velvet,#750851,117,8,81,319.8165137614679,93.16239316239316,45.88235294117647,743856308
brick orange,#c14a09,193,74,9,21.195652173913047,95.33678756476684,75.68627450980392,92644160936392933
lightish red,#fe2f4a,254,47,74,352.17391304347825,81.49606299212599,99.6078431372549,442734447592163492
pure blue,#0203e2,2,3,226,239.7321428571429,99.1150442477876,88.62745098039215,18333267210917
twilight blue,#0a437a,10,67,122,209.4642857142857,91.8032786885246,47.84313725490196,23897657880615137957
violet red,#a50055,165,0,85,329.09090909090907,100.0,64.70588235294117,784480261327012
yellowy brown,#ae8b0c,174,139,12,47.03703703703703,93.10344827586206,68.23529411764706,29017131922414452462
carnation,#fd798f,253,121,143,350.0,52.17391304347826,99.2156862745098,3352693450222
muddy yellow,#bfac05,191,172,5,53.87096774193549,97.38219895287958,74.90196078431373,492164286875316727
dark seafoam green,#3eaf76,62,175,118,149.73451327433628,64.57142857142857,68.62745098039215,156645566903298827316958382
deep rose,#c74767,199,71,103,345.0,64.321608040201,78.03921568627452,4575782846053
dusty red,#b9484e,185,72,78,356.8141592920354,61.08108108108108,72.54901960784314,5140700416164
grey/blue,#647d8e,100,125,142,204.2857142857143,29.5774647887324,55.68627450980392,8321296839333
lemon lime,#bffe28,191,254,40,77.66355140186916,84.25196850393701,99.6078431372549,428173307553189
purple/pink,#d725de,215,37,222,297.72972972972974,83.33333333333333,87.05882352941177,18773624374175179
brown yellow,#b29705,178,151,5,50.63583815028902,97.19101123595505,69.80392156862744,92877360802968055
purple brown,#673a3f,103,58,63,353.3333333333333,43.68932038834952,40.3921568627451,600755979925667566
wisteria,#a87dc2,168,125,194,277.3913043478261,35.56701030927835,76.07843137254902,800596347169
banana yellow,#fafe4b,250,254,75,61.34078212290503,70.47244094488188,99.6078431372549,2357685049879835127
lipstick red,#c0022f,192,2,47,345.7894736842105,98.95833333333334,75.29411764705883,443063201035143332
water blue,#0e87cc,14,135,204,201.7894736842105,93.1372549019608,80.0,811033268662949
brown grey,#8d8468,141,132,104,45.40540540540542,26.241134751773053,55.294117647058826,90700547082425
vibrant purple,#ad03de,173,3,222,286.5753424657534,98.64864864864865,87.05882352941177,822125407874544386437
baby green,#8cff9e,140,255,158,129.3913043478261,45.09803921568627,100.0,71564833395886
barf green,#94ac02,148,172,2,68.47058823529412,98.8372093023256,67.45098039215686,72094188115118
eggshell blue,#c4fff7,196,255,247,171.864406779661,23.13725490196078,100.0,6025367885795373733
sandy yellow,#fdee73,253,238,115,53.47826086956521,54.54545454545456,99.2156862745098,686170914573136375
cool green,#33b864,51,184,100,142.10526315789474,72.28260869565216,72.15686274509804,122575086228654
pale,#fff9d0,255,249,208,52.34042553191488,18.43137254901961,100.0,525701
blue/grey,#758da3,117,141,163,208.695652173913,28.22085889570552,63.921568627450974,2634089220281
hot magenta,#f504c9,245,4,201,310.95435684647305,98.3673469387755,96.07843137254902,9557999860497025
greyblue,#77a1b5,119,161,181,199.35483870967744,34.25414364640884,70.98039215686275,260039586469
purpley,#8756e4,135,86,228,260.70422535211264,62.28070175438596,89.41176470588236,17903923385
baby shit green,#889717,136,151,23,67.03125,84.76821192052981,59.21568627450981,2401317747145024541870
brownish pink,#c27e79,194,126,121,4.1095890410959,37.628865979381445,76.07843137254902,2972074817817683403
dark aquamarine,#017371,1,115,113,178.94736842105263,99.1304347826087,45.09803921568628,4780442706463537309125
diarrhea,#9f8303,159,131,3,49.230769230769226,98.11320754716982,62.35294117647059,147155656865
light mustard,#f7d560,247,213,96,46.49006622516557,61.1336032388664,96.8627450980392,14167503038486021700
pale sky blue,#bdf6fe,189,246,254,187.3846153846154,25.590551181102363,99.6078431372549,18496493242336490149
turtle green,#75b84f,117,184,79,98.28571428571428,57.06521739130434,72.15686274509804,744875566053266606
bright olive,#9cbb04,156,187,4,70.16393442622949,97.8609625668449,73.33333333333333,92648445666797253
dark grey blue,#29465b,41,70,91,205.2,54.94505494505494,35.68627450980392,149388841192058335909
greeny brown,#696006,105,96,6,54.54545454545455,94.28571428571428,41.17647058823529,272649705763716846
lemon green,#adf802,173,248,2,78.29268292682926,99.19354838709675,97.25490196078432,13701545836745902
